-4.200515104457736015e-05,3.458074061200022697e-04,9.481317829340696335e-05,-1.011091866530478001e-03,-3.878445131704211235e-04,-4.025712609291076660e-03,9.918333962559700012e-04,-4.299699887633323669e-02,7.625059224665164948e-03,-2.293480560183525085e-02,-6.136422976851463318e-03,-1.726292073726654053e-02
9.540293831378221512e-05,3.015918191522359848e-04,-4.598912782967090607e-04,-8.657291764393448830e-04,1.103178714402019978e-03,-2.751343417912721634e-03,-4.820346832275390625e-03,-2.324910089373588562e-02,4.838220030069351196e-02,-8.082870393991470337e-03,-4.557344689965248108e-02,-1.004281081259250641e-02
8.935912046581506729e-05,-6.675259210169315338e-04,-1.962201204150915146e-04,1.960855210199952126e-03,8.055837824940681458e-04,7.831307128071784973e-03,-2.088073641061782837e-03,8.432184159755706787e-02,-1.446399465203285217e-02,4.505046457052230835e-02,1.075009442865848541e-02,3.360073268413543701e-02
-1.124093541875481606e-04,-3.674691834021359682e-04,5.419438239187002182e-04,1.060946960933506489e-03,-1.281079370528459549e-03,3.402076661586761475e-03,5.608708597719669342e-03,2.978652343153953552e-02,-5.730619654059410095e-02,9.444288909435272217e-03,5.372776836156845093e-02,1.069309748709201813e-02
-1.079821959137916565e-04,8.076208177953958511e-04,2.406733110547065735e-04,-2.380382036790251732e-03,-9.835963137447834015e-04,-9.520648978650569916e-03,2.558453008532524109e-03,-1.036412268877029419e-01,1.935908943414688110e-02,-5.501692742109298706e-02,-1.161178946495056152e-02,-3.987272083759307861e-02
-1.283094170503318310e-04,-4.764118930324912071e-04,6.256231572479009628e-04,1.401599613018333912e-03,-1.408109674230217934e-03,4.637144040316343307e-03,6.158309057354927063e-03,4.467365890741348267e-02,-6.754291057586669922e-02,1.074565201997756958e-02,6.245831027626991272e-02,7.448343560099601746e-03
1.111081801354885101e-04,-9.776218794286251068e-04,-2.227821387350559235e-04,2.931387629359960556e-03,1.023626886308193207e-03,1.168022770434617996e-02,-2.396281808614730835e-03,1.326205879449844360e-01,-4.035401344299316406e-02,6.697659939527511597e-02,1.140033826231956482e-02,4.257024079561233521e-02
1.057982444763183594e-05,-1.954631879925727844e-03,2.941722050309181213e-04,6.227861624211072922e-03,1.015383750200271606e-03,2.440628781914710999e-02,-2.816878259181976318e-03,3.140568733215332031e-01,-9.721823036670684814e-02,6.329335272312164307e-03,6.649050116539001465e-02,-5.474580079317092896e-02
4.028375260531902313e-04,2.317200414836406708e-04,-1.680568791925907135e-03,-9.426828473806381226e-04,5.270714871585369110e-03,-1.444503664970397949e-03,-2.449049800634384155e-02,-3.656290471553802490e-02,3.664293289184570312e-01,-1.236727684736251831e-01,-3.810346126556396484e-03,-7.022925466299057007e-02
-2.039782702922821045e-05,-1.077954657375812531e-03,2.219466259703040123e-04,3.044065088033676147e-03,2.168118953704833984e-06,8.547810837626457214e-03,-2.869727090001106262e-03,3.930798172950744629e-02,5.286058038473129272e-02,3.516288101673126221e-01,1.288777887821197510e-01,7.358863949775695801e-03
4.104012623429298401e-05,-1.009324099868535995e-03,-1.275446265935897827e-06,2.899846993386745453e-03,5.234885029494762421e-04,1.421949826180934906e-02,-1.517549157142639160e-03,1.745025813579559326e-01,-3.599961847066879272e-02,-6.692492216825485229e-02,3.402593135833740234e-01,1.082275211811065674e-01
7.486809045076370239e-05,-2.261359244585037231e-03,8.752383291721343994e-05,6.810642313212156296e-03,1.918889582157135010e-03,2.582253329455852509e-02,-5.529165267944335938e-03,2.924321889877319336e-01,-2.707493305206298828e-02,-1.173266768455505371e-02,-8.051786571741104126e-02,2.743513286113739014e-01
