Cycle number,,applied current,C-rate,Chg Cap(Ah),DChg Cap(Ah),,,,,,,,,,,,,,,,,,,
1,SEI formation,,,0.0007356,0.0013074,,,,,,,,,,weight of copper current collector (12mm diameter):   9.68 mg,,,,,,,,,
2,SEI formation,,,0.0007440,0.0007878,,,,,,,,,,weight of the electrode including current collector and dried slurry: 12.5 mg,,,,,,,,,
3,dont use this one,,,0.0015423,0.0015836,,,,,,,,,,,,,,,,,,,
4,Stress Prep,,,0.0007977,0.0008163,,,,,,,,,,,,,,,,,,,
5,Stress Prep,,,0.0007931,0.0008110,,,,,,,,,,porosity of the as prepared electrode: ~ 70-80%,,,,,,,,,
6,Stress Prep,,,0.0007895,0.0008037,,,,,,,,,,,,,,,,,,,
7,dont use this one,,,0.0015446,0.0015722,,,,,,,,,,,,,,,,,,,
8,C/2,,,0.0007549,0.0007631,,,,,,,,,,,,,,,,,,,
9,C/2,,,0.0007520,0.0007590,,,,,,,,,,,,,,,,,,,
10,C/2,,,0.0007531,0.0007597,,,,,,,,,,,,,,,,,,,
11,dont use this one,,,0.0014459,0.0014636,,,,,,,,,,,,,,,,,,,
12,1C,,,0.0006930,0.0006981,,,,,,,,,,,,,,,,,,,
13,1C,,,0.0006880,0.0006925,,,,,,,,,,,,,,,,,,,
14,1C,,,0.0006836,0.0006877,,,,,,,,,,,,,,,,,,,
15,dont use this one,,,0.0012900,0.0013008,,,,,,,,,,,,,,,,,,,
16,2C,,,0.0006000,0.0006029,,,,,,,,,,,,,,,,,,,
17,2C,,,0.0005959,0.0005988,,,,,,,,,,,,,,,,,,,
18,2C,,,0.0005928,0.0005954,,,,,,,,,,,,,,,,,,,
19,dont use this one,,,0.0010111,0.0010180,,,,,,,,,,,,,,,,,,,
20,4C,,,0.0004103,0.0004109,,,,,,,,,,,,,,,,,,,
21,4C,,,0.0003904,0.0003906,,,,,,,,,,,,,,,,,,,
22,4C,,,0.0003807,0.0003811,,,,,,,,,,,,,,,,,,,
23,dont use this one,,,0.0011004,0.0010931,,,,,,,,,,,,,,,,,,,
24,C/2,,,0.0007184,0.0007225,,,,,,,,,,,,,,,,,,,
25,C/2,,,0.0007204,0.0007245,,,,,,,,,,,,,,,,,,,
26,C/2,,,0.0007168,0.0007210,,,,,,,,,,,,,,,,,,,
27,C/2,,,0.0007153,0.0007195,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,please ignore if the number of cycles does not match the instructions,,,,,,,,,,,,,,,,,,,,,,,
